##BLOCKS= 1          
Plate:	Plate#1	1,1	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	26,00	0,8418	1,1461	0,7507	0,8919	1,4515	0,8852	1,3086	0,7005	0,7103	0,8516	0,6629	0,823		
		0,6564	0,6347	1,0209	0,5768	0,7648	0,85	1,1708	1,0678	0,6044	0,8102	0,7272	0,6461		
		0,8059	0,7071	0,7196	0,7801	0,8277	0,5966	0,7307	0,5555	0,6208	0,8486	0,6674	0,6908		
		1,2612	0,7967	0,8734	1,0377	0,8368	0,696	0,6227	0,7018	0,8157	0,7835	0,6195	0,9039		
		1,0698	0,8368	0,6195	0,8238	0,8109	0,6351	0,6762	0,6154	0,9764	0,6738	0,7268	3,9097		
		0,6948	0,6303	0,8006	0,9147	0,7392	0,887	0,7461	0,6141	1,0231	0,918	0,858	4		
		4	1,0807	0,7954	0,8813	0,751	0,8683	0,6575	0,9138	0,8857	0,6024	0,6968	4		
		4	1,2625	0,7272	1,21	1,4784	0,8508	0,7486	0,7804	0,6331	0,6729	0,8374	4		
		
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	
~End
